tag,count
actionscript-3,54979
android,1079886
asp.net,483156
assembly,24346
awk,28513
bash,114098
blackberry,12737
c#,1697336
c++,733757
c,380100
clojure,19879
cobol,1325
coffeescript,12728
css,669187
cuda,10602
d,3018
dart,8348
delphi,67084
erlang,11039
f#,19360
flash,47508
flex,37305
fortran,6987
go,23392
groovy,22268
haskell,41945
html,900729
ios,594155
iphone,359487
java,1670096
javascript,1779896
julia-lang,2118
latex,6920
lisp,8331
lua,12575
matlab,66573
mysql,623944
objective-c,401320
pascal,2428
perl,87274
php,1449313
powershell,48674
python,844330
r,158911
ruby-on-rails,372540
rust,6320
sass,11335
scala,80852
scheme,8375
silverlight,46589
smalltalk,2116
svg,24430
swift,124917
tcl,6990
typescript,21029
vb.net,142240
vb6,14404
vba,73099
vbscript,14636
wolfram-mathematica,4478
xslt,37268
